Supplier,Supplier #,Manufacturer,Manufacturer #,References,Label,Quantity, Unit Price , Total Price 
-,-,-,#2020-20/1,Q1,TO92 HEATSINK,1, € 25.00 , € 25.00 
DIGIKEY,P15348CT-ND,Panasonic Electronic Components,,EEU-FR1E101B,CAP ALUM 100UF 20% 25V RADIAL,3, € 0.25 , € 0.75 
DIGIKEY,BC1639-ND,Vishay Beyschlag/Draloric/BC Components,BFC237021104,"C4-C5,C8-C12",CAP FILM 0.1UF 10% 100VDC RADIAL,7, € 0.33 , € 2.31 
DIGIKEY,490-14507-ND,Murata Electronics,RDEC71E226K3K1H03B,C7,CAP CER 22UF 25V X7S RADIAL,1, € 1.63 , € 1.63 
DIGIKEY,445-173583-1-ND,TDK Corporation,FG28X7R1E105KRT06,C13,CAP CER 1UF 25V X7R RADIAL,1, € 0.31 , € 0.31 
DIGIKEY,S330CACT-ND,Stackpole Electronics Inc,RNMF14FTC330R,"R1,R18",RES 330 OHM 1/4W 1% AXIAL,2, € 0.08 , € 0.16 
DIGIKEY,S100KCACT-ND,Stackpole Electronics Inc,RNMF14FTC100K,"R2-R3,R14-R15",RES 100K OHM 1/4W 1% AXIAL,4, € 0.08 , € 0.32 
DIGIKEY,S470CACT-ND,Stackpole Electronics Inc,RNMF14FTC470R,R4,RES 470 OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,S150KQCT-ND,Stackpole Electronics Inc,CFM14JT150K,R5,RES 150K OHM 1/4W 5% CF MINI,1, € 0.08 , € 0.08 
DIGIKEY,S220KCACT-ND,Stackpole Electronics Inc,RNMF14FTC220K,R6,RES 220K OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,S33KCACT-ND,Stackpole Electronics Inc,RNMF14FTC33K,R7,RES 33K OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,S10KCACT-ND,Stackpole Electronics Inc,RNMF14FTC10K,"R8,R19-R20",RES 10K OHM 1/4W 1% AXIAL,3, € 0.08 , € 0.24 
DIGIKEY,S1KCACT-ND,Stackpole Electronics Inc,RNMF14FTC1K,"R9-R10,R13,R16",RES 1K OHM 1/4W 1% AXIAL,4, € 0.08 , € 0.32 
DIGIKEY,S180KCACT-ND,Stackpole Electronics Inc,RNMF14FTC180K,R11,RES 180K OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,S56KCACT-ND,Stackpole Electronics Inc,RNMF14FTC56K,R12,RES 56K OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,S1MCACT-ND,Stackpole Electronics Inc,RNMF14FTC1M,R17,RES 1M OHM 1/4W 1% AXIAL,1, € 0.08 , € 0.08 
DIGIKEY,497-2949-5-ND,STMicroelectronics,L7808CV,U2,IC REG LINEAR 8V 1.5A TO220AB,1, € 0.35 , € 0.35 
DIGIKEY,497-15587-5-ND,STMicroelectronics,L7908CV-DG,U3,IC REG LINEAR -8V 1.5A TO220,1, € 0.64 , € 0.64 
DIGIKEY,ILD1-ND,Vishay Semiconductor Opto Division,ILD1,U4,OPTOISOLTR 5.3KV 2CH TRANS 8-DIP,1, € 1.15 , € 1.15 
DIGIKEY,296-2067-5-ND,Texas Instruments,CD4082BE,U5,IC GATE AND 2CH 4-INP 14DIP,1, € 0.40 , € 0.40 
DIGIKEY,296-1784-5-ND,Texas Instruments,TL084CN,U7,IC OPAMP JFET 4 CIRCUIT 14DIP,1, € 0.49 , € 0.49 
DIGIKEY,TN0702N3-G-ND,Microchip Technology,TN0702N3-G,Q1,MOSFET N-CH 20V 530MA TO92-3,1, € 0.97 , € 0.97 
DIGIKEY,BC557BTACT-ND,ON Semiconductor,BC557BTA,Q2,TRANS PNP 45V 100MA TO92-3,1, € 0.18 , € 0.18 
DIGIKEY,TLPR5600-ND,Vishay Semiconductor Opto Division,TLPR5600,D1,LED RED DIFF SIDE VIEW T/H R/A,1, € 0.40 , € 0.40 
DIGIKEY,TLPG5600-ND,Vishay Semiconductor Opto Division,TLPG5600,D5,LED GREEN DIFF SIDE LED T/H R/A,1, € 0.44 , € 0.44 
DIGIKEY,754-1263-ND,Kingbright ,WP7113GD,D6,LED GREEN DIFFUSED T-1 3/4 T/H,1, € 0.29 , € 0.29 
DIGIKEY,1655-1519-1-ND,SMC Diode Solutions,SB240TA,D2,DIODE SCHOTTKY 40V 2A DO15,1, € 0.24 , € 0.24 
DIGIKEY,1N5333BGOS-ND,ON Semiconductor,1N5333BG,D3,DIODE ZENER 3.3V 5W AXIAL,1, € 0.42 , € 0.42 
DIGIKEY,1N5338BGOS-ND,ON Semiconductor,1N5338BG,D4,DIODE ZENER 5.1V 5W AXIAL,1, € 0.42 , € 0.42 
DIGIKEY,A97555-ND,TE Connectivity AMP Connectors,1-1634612-0,DISABLE (REMOTE),CONN BNC JACK R/A 50 OHM PCB,1, € 1.68 , € 1.68 
DIGIKEY,ED2609-ND,On Shore Technology Inc.,OSTTC022162,"ENABLE,INTERLOCK,J1,J5,LD",TERM BLK 2P SIDE ENT 5.08MM PCB,5, € 0.65 , € 3.25 
DIGIKEY,WM2701-ND,Molex,22112032,FAN1,CONN HEADER VERT 3POS 2.54MM,1, € 0.43 , € 0.43 
DIGIKEY,WM2700-ND,Molex,22112022,FAN2-FAN4,CONN HEADER VERT 2POS 2.54MM,3, € 0.33 , € 0.99 
DIGIKEY,ED2610-ND,On Shore Technology Inc.,OSTTC032162,"J2,J4",TERM BLK 3P SIDE ENT 5.08MM PCB,2, € 0.69 , € 1.38 
DIGIKEY,3266P-1-103LF-ND,Bourns Inc.,3266P-1-103LF,RV1-RV2,TRIMMER 10KOHM 0.25W PC PIN SIDE,2, € 3.39 , € 6.78 
DIGIKEY,EG2362-ND,E-Switch,100SP1T2B4M6QE,SW1,SWITCH TOGGLE SPDT 5A 120V,1, € 2.07 , € 2.07 
DIGIKEY,781801RD005-ND,Alpha Wire,781801 RD005,-,HOOK-UP SOLID 18AWG RED 100',0.005, € 25.92 , € 0.13 
DIGIKEY,A781801Y-100-ND,Alpha Wire,781801 YL005,-,HOOK-UP SOLID 18AWG YELLOW 100',0.016666667, € 25.92 , € 0.43 
DIGIKEY,A781801L-100-ND,Alpha Wire,781801 BL005,-,HOOK-UP SOLID 18AWG BLUE 100',0.005, € 25.92 , € 0.13 
DIGIKEY,781801BK005-ND,Alpha Wire,781801 BK005,-,HOOK-UP SOLID 18AWG BLACK 100' ,0.025, € 25.92 , € 0.65 
DIGIKEY,BEL1387-100-ND,Belden Inc.,9501 060100,-,CABLE 2COND 24AWG CHROME 100',0.01, € 50.48 , € 0.50 
DIGIKEY,S7041-ND,Sullins Connector Solutions,PPPC081LFBN-RC,U1,CONN HDR 8POS 0.1 GOLD PCB,2, € 0.55 , € 1.10 
DIGIKEY,S7043-ND,Sullins Connector Solutions,PPPC101LFBN-RC,U4,CONN HDR 10POS 0.1 GOLD PCB,1, € 0.55 , € 0.55 
DIGIKEY,S7038-ND,Sullins Connector Solutions,PPPC051LFBN-RC,U4,CONN HDR 5POS 0.1 GOLD PCB,1, € 0.40 , € 0.40 
DIGIKEY,345-1112-ND,Wakefield-Vette,637-15ABPE,U3,"HEATSINK TO-220 VRT MT BLK 1.5""",1, € 1.22 , € 1.22 
DIGIKEY,294-1171-ND,CTS Thermal Management Products,FEX40-40-21/T710/M2,-,FAN AXIAL 39.6X19.8MM 5VDC 2510,1, € 25.24 , € 25.24 
DIGIKEY,1597-1551-ND,"Seeed Technology Co., Ltd",114991371,-,RASPBERRY PI COOLING DUAL FAN,1, € 10.77 , € 10.77 
DIGIKEY,AE10837-ND,Assmann WSW Components,V2017B,-,HEATSINK ANOD ALUM CPU,1, € 0.44 , € 0.44 
DIGIKEY,294-1155-ND,CTS Thermal Management Products,APF30-30-13CB,-,HEATSINK LOW-PROFILE FORGED,1, € 4.68 , € 4.68 
DIGIKEY,Q960-ND ,Qualtek,361002-E01 ,-,CORD CEE 7/16 TO CBL 5.90' BLACK,1, € 2.31 , € 2.31 
DIGIKEY,609-2805-ND,Amphenol ICC (FCI),DEP09P065TXLF,-,CONN D-SUB PLUG 9POS SLDR CUP,1, € 3.59 , € 3.59 
DIGIKEY,609-2806-ND,Amphenol ICC (FCI),DEP09S065TLF,-,CONN D-SUB RCPT 9POS SLDR CUP,1, € 7.10 , € 7.10 
DIGIKEY,1470-1213-ND,XP Power,ECL30UT02-S,-,AC/DC CONVERTER 5V +/-12V 30W,1, € 58.92 , € 58.92 
DIGIKEY,CKC8009-ND,C&K,YM061U2C2WCNQ,-,SWITCH KEYLOCK 2POS SPST 4A 125V,1, € 12.34 , € 12.34 
DIGIKEY,9842.53,Schurter Inc.,9842.53,-,ROUND STANDOFF M4 NYLON 25MM,2, € 0.70 , € 1.40 
EUROCIRCUIT,-,-,#2020-19:PCB/2,-,Printed Circuit Board,1, € 74.48 , € 74.48 
FARNELL,DP-2216,3M,DP-2216,-,"ADHESIVE,SQUEEZE BOTTLE,GR,43ML(EPOXY)",0.01, € 25.42 , € 0.25 
LDLC,NT-H1,NOCTUA,NT-H1,-,Pâte thermique (1.4 ml),0.1, € 9.88 , € 0.99 
SAM,913235_656,-,-,-,50 pcs DIN 913 A2 M3X5    ,0.02, € 3.99 , € 0.08 
SAM,912PA312_50,-,-,-,50 pcs DIN 912 PA M3x12,0.02, € 3.99 , € 0.08 
SAM,934PA3_9455,-,-,-,50 pièces DIN 934 Polyamid M3,0.04, € 2.99 , € 0.12 
SAM,PA902132_9396,-,-,-,"50 pcs DIN 9021 Polyamid 3,2",0.04, € 3.49 , € 0.14 
SAM,912PA34_50,-,-,-,50 pcs DIN 912 PA M3X4,0.02, € 3.99 , € 0.08 
SAM,912PA48_50,-,-,-,50 pcs DIN 912 PA M4X8,0.02, € 4.86 , € 0.10 
SAM,912PA420_25,-,-,-,25 pcs DIN 912 PA M4x20,0.08, € 3.99 , € 0.32 
SAM,912PA410_50,-,-,-,50 pcs DIN 912 PA M4x10,0.04, € 4.99 , € 0.20 
THORLABS,MTD415TE,THORLABS,MTD415TE,U1,"TEC Driver, on Daughterboard, ±1.5 A, Compatible with 10 k? Thermistor",1, € 64.54 , € 64.54 
THORLABS,LD3000R,THORLABS,LD3000R,U6,"Laser Diode Driver, 2.5 A Constant Current",1, € 161.32 , € 161.32 
THORLABS,KAP22-075,-,-,-,"Kapton Tape, 3/4"" Wide x 36 yd Long (1.9 cm x 32.9 m)",0.0001, € 16.23 , € 0.00 
THORLABS,SH4S019,THORLABS,SH4S019,-,"4-40 Stainless Steel Cap Screw, 3/16"" Long, 50 Pack",0.08, € 7.28 , € 0.58 
THORLABS,W8S038,-,-,-,"#8 Washer, M4 Compatible, Stainless Steel, 100 Pack",0.02, € 3.26 , € 0.07 
